rating,rating_ordinal,pd_1y,notes
AAA,1,0.00000,
AA+,2,0.00010,adjusted via exponential interpolation
AA,3,0.00020,
AA-,4,0.00040,
A+,5,0.00070,
A,6,0.00090,
A-,7,0.00120,adjusted via exponential interpolation
BBB+,8,0.00160,
BBB,9,0.00230,
BBB-,10,0.00380,
BB+,11,0.00550,
BB,12,0.00800,
BB-,13,0.01300,
B+,14,0.02600,
B,15,0.05880,
B-,16,0.09120,
CCC+,17,0.15805,adjusted via exponential interpolation
CCC,18,0.27390,
CCC-,19,0.37861,created by exponential interpolation (no data)
CC,20,0.52335,created by exponential interpolation (no data)
C,21,0.72343,created by exponential interpolation (no data)
D,22,1.00000,
